URL	Type d'acteur	Santé	Présence dans les archives du web du 31 janvier 2020 au 31 juillet 2020	Présence dans les archives du web en 2021	Crawl lancé ou pas dans les archives du web 2020	Crawl lancé ou pas dans les archives du web 2021	Crawl lancé ou pas sur le web vivant 2022	Notes
https://www.pasteur.fr/fr/espace-presse/documents-presse/covid-19-quelles-strategies-teletravail-freiner-circulation-du-virus	Institutionnel	Santé	FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.pasteur.fr/fr/centre-medical/fiches-maladies/maladie-covid-19-nouveau-coronavirus	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.publicsenat.fr/article/societe/levee-des-brevets-sur-les-vaccins-macron-est-a-la-remorque-des-etats-unis-188999	Institutionnel		FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.sf2s-sterilisation.fr/infos/covid-19-toutes-les-infos/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.sfm-microbiologie.org/covid-19-actualites/	Institutionnel	Science, Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.sfm-microbiologie.org/2020/03/03/covid-19/	Institutionnel	Science, Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.sfm-microbiologie.org/2020/03/19/covid-19/	Institutionnel	Science, Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.sfm-microbiologie.org/2020/04/03/covid-19/	Institutionnel	Science, Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.soundofscience.fr/2231	Blog	Science	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.soundofscience.fr/2210	Blog	Science	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.soundofscience.fr/2193	Blog	Science	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.soundofscience.fr/2169	Blog	Science	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.mediterranee-infection.com/?s=coronavirus	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.mediterranee-infection.com/tout-sur-le-coronavirus/	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.mediterranee-infection.com/communication/actualites/	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.mediterranee-infection.com/covid-19/	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://covid-documentation.aphp.fr	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://covid-documentation.aphp.fr/ethique-et-droit/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/information-des-professionnels/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/restauration/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/urgences-et-regulation/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/deces/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/transferts-de-patients/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/reanimation/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/fonctions-supports/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/imagerie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/hospitalisation-a-domicile/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/protection-des-professionnels/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/architecture-batiment-ingenierie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/geriatrie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/autres-logistiques/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/visiteurs/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/obstetrique/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/kinesitherapie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/dechets/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/e-learning-covid-19/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/handicap/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/neurologie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/soins-palliatifs/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/hebergement-pour-patients-covid-ne-pouvant-rentrer-chez-eux/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/information-aux-patients-et-proches/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/organisation/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/endocrinologie-diabetologie-nutrition/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/structures-de-prevention/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/ssr/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/systeme-dinformation/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/pedopsychiatrie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/transports/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/prise-en-charge-des-patients/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/professionnels-de-sante/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/laboratoire/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/pneumologie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/bionettoyage/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/anesthesie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/douleur/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/psychiatrie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/cancerologie-et-hematologie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/mesures-barrieres/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/hepato-gastro-enterologie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/chirurgie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/pediatrie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/odontologie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/retour-et-suivi-a-domicile/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/approvisionnement-medical-et-pharmaceutique/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/depistage/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/neurologie-2/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/maladies-infectieuses-hors-covid-19/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/linge/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/adaptation-des-prises-en-charge/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/nephrologie-et-dialyse/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/telemedecine/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/cardiologie/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/organisation-generale-des-soins/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/renforts-covid-19/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/budget-et-finances/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://covid-documentation.aphp.fr/soutien-aux-professionnels/	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://splf.fr/covid-19-informations-aux-professionnels/	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://splf.fr/centre-de-documentation-covid-19/	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://splf.fr/wp-content/uploads/2020/03/covid19-kassegne21-03-20-reduit.pdf	Institutionnel	Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://splf.fr/gavo2/	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.pasteur.fr/fr/espace-presse/documents-presse/ivermectine-attenue-symptomes-covid-19-modele-animal	Institutionnel	Santé	FALSE	TRUE	Crawlé	Crawlé	Crawlé	
http://conoravirus.fr	Institutionnel	Santé	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://www.enseignementsup-recherche.gouv.fr/pid39540/covid-enseignement-superieur-rec-mobilises.html	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://www.enseignementsup-recherche.gouv.fr/pid39562/covid-19-l-enseignement-superieur-francais-mobilise.html	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://www.enseignementsup-recherche.gouv.fr/supsolidaire	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://www.fse.gouv.fr/covid-19-ce-que-font-les-acteurs-du-fse	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://www.justice.gouv.fr/la-garde-des-sceaux-10016/	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://www.justice.gouv.fr/publication/musee_memorial_rapport_vdef.pdf	Institutionnel		FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://chlorofil.fr/covid-19	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://covid-19.sante.gouv.fr	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://eureka.defense.gouv.fr/services/informations-covid-19	Institutionnel		TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/?mots[]=2348&annee=2021#articles	Institutionnel	Santé	FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://travail-emploi.gouv.fr/actualites/l-actualite-du-ministere/article/coronavirus-questions-reponses-pour-les-entreprises-et-les-salaries	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.data.gouv.fr/fr/datasets/indicateurs-dactivite-epidemique-covid-19-par-departement/	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.defense.gouv.fr/actualites	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.defense.gouv.fr/actualites/articles/ministere-des-armees-covid-19-foire-aux-questions	Institutionnel		TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.defense.gouv.fr/actualites/operations/genevieve-darrieussecq-en-vol-pour-la-mission-morphee	Institutionnel		TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.economie.gouv.fr/covid19-soutien-entreprises	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.economie.gouv.fr/covid19-soutien-entreprises/filiere-aeronautique-appel-manifestation-interet	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.economie.gouv.fr/covid19-soutien-entreprises/nouvelles-mesures-soutien-tresorerie-entreprises	Institutionnel		FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.economie.gouv.fr/covid19-soutien-entreprises/plan-commerce-proximite-artisanat-independants	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.economie.gouv.fr/covid19-soutien-entreprises/plans-de-soutien-sectoriels	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.economie.gouv.fr/coronavirus-covid-19-informations-recommandations-mesures-sanitaires	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.economie.gouv.fr/covid19-soutien-entreprises/les-mesures	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.economie.gouv.fr/covid19-soutien-entreprises/reponses-gouvernement-difficultes-independants	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.economie.gouv.fr/plan-de-relance	Institutionnel		FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.education.gouv.fr/covid19-documents-d-information-pour-les-ecoles-et-etablissements-305657	Institutionnel		FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.education.gouv.fr/covid19-mesures-pour-les-ecoles-colleges-et-lycees-modalites-pratiques-continuite-pedagogique-et-305467	Institutionnel		FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.education.gouv.fr/covid19-ouverture-des-ecoles-modalites-pratiques-et-protocole-sanitaire-305467	Institutionnel		FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.interieur.gouv.fr/actualites/communiques/duree-de-validite-des-titres-de-sejour	Institutionnel		FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://bourgogne-franche-comte.drdjscs.gouv.fr/spip.php?article1257	Institutionnel		TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://bourgogne-franche-comte.drdjscs.gouv.fr/spip.php?rubrique308	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://bourgogne-franche-comte.drdjscs.gouv.fr/spip.php?article1257	Institutionnel		TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://bourgogne-franche-comte.drdjscs.gouv.fr/spip.php?article1251	Institutionnel		TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://bourgogne-franche-comte.drdjscs.gouv.fr/spip.php?article1256	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://covid-coronavirus.fr	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://draaf.bourgogne-franche-comte.agriculture.gouv.fr/informations-covid-19	Institutionnel		FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://factuel.univ-lorraine.fr/institution	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://factuel.univ-lorraine.fr/coronavirus	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
http://nievre.fr/le-departement/restez-chez-vous-224/point-de-situation/	Institutionnel		TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://recherche.irsan.fr/fr/	Institutionnel	Santé	FALSE	TRUE	Crawlé	Crawlé	Crawlé	
http://recherche.irsan.fr/var/documentations/documentation_154/la%20mortalite%20de%20coronavirus%20france_preprint2021-03-25.pdf	Institutionnel	Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
http://www.cdg21.fr/index.php/actualites/524-covid-19	Institutionnel		TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
